MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom
21530491,5300000.0,85637,-110.3782,31.356362,2154.0,5272,1941,13,10,10500.0,0.0,6,0.0,0,1,0,1,504.76190476190476,407692.3076923077,0.7692307692307693
21529082,4200000.0,85646,-111.045371,31.594213,1707.0,10422,1997,2,2,7300.0,0.0,5,0.0,1,0,0,1,575.3424657534247,2100000.0,1.0
3054672,4200000.0,85646,-111.040707,31.594844,1707.0,10482,1997,2,3,3514.0,3.0,5,0.0,1,0,0,1,1195.219123505976,2100000.0,1.5
21919321,4500000.0,85646,-111.035925,31.645878,636.67,8418,1930,7,5,9019.0,4.0,4,0.0,0,1,0,1,498.94666814502716,642857.1428571428,0.7142857142857143
21306357,3411450.0,85750,-110.813768,32.285162,3.21,15393,1995,4,6,6396.0,3.0,5,55.0,0,1,0,1,533.3724202626641,852862.5,1.5
21528016,3250000.0,85718,-110.910593,32.33909,1.67,27802,1999,3,4,6842.0,3.0,5,422.0,1,0,0,1,475.00730780473543,1083333.3333333333,1.3333333333333333
21610478,2400000.0,85712,-110.883315,32.261069,2.1,19038,2001,9,8,12025.0,4.0,6,0.0,1,0,0,1,199.58419958419958,266666.6666666667,0.8888888888888888
21211741,2500000.0,85750,-110.861002,32.331603,1.07,21646,2011,6,8,8921.0,4.0,5,220.0,1,0,0,1,280.237641520009,416666.6666666667,1.3333333333333333
21324646,3700000.0,85718,-110.912156,32.343601,6.73,25094,2002,5,7,5238.0,3.0,1,421.0,1,0,0,1,706.3764795723558,740000.0,1.4
21812010,3250000.0,85750,-110.83795,32.327575,3.53,18936,2007,5,6,6480.0,3.0,2,141.67,0,1,0,1,501.5432098765432,650000.0,1.2
21900396,2776518.0,85640,-111.045441,31.562121,147.18,7330,1935,5,5,5067.0,5.0,5,0.0,1,0,0,1,547.9609236234459,555303.6,1.0
21131956,2050000.0,85718,-110.918294,32.341609,1.65,24353,2009,5,6,7230.0,3.0,4,357.0,1,0,0,1,283.54080221300137,410000.0,1.2
21217839,2100000.0,85637,-110.736202,31.721347,29.6,11723,1995,6,7,6454.0,3.0,4,0.0,1,0,0,1,325.37960954446856,350000.0,1.1666666666666667
21625369,2200000.0,85658,-111.049837,32.483063,1.82,5198,2015,4,6,5826.0,3.0,3,148.0,1,0,0,1,377.617576381737,550000.0,1.5
21534099,3000000.0,85739,-110.883068,32.508778,0.0,8980,2008,3,3,3095.0,0.0,3,1717.0,1,0,0,1,969.3053311793215,1000000.0,1.0
21225585,2600000.0,85739,-110.883252,32.507699,0.0,18044,2008,3,3,3095.0,0.0,3,0.0,1,0,0,1,840.064620355412,866666.6666666666,1.0
21700487,3000000.0,85750,-110.843588,32.327533,3.1,24040,2002,3,6,7756.0,3.0,3,142.0,1,0,1,0,386.79731820526047,1000000.0,2.0
21300933,2500000.0,85718,-110.942458,32.350702,1.25,19565,2010,4,5,5338.0,4.0,5,173.0,1,0,0,1,468.3402023229674,625000.0,1.25
21324339,2600000.0,85739,-110.883239,32.50904,0.0,17567,2008,3,3,3095.0,0.0,3,0.0,1,0,0,1,840.064620355412,866666.6666666666,1.0
21400806,2800000.0,85750,-110.837572,32.328412,93.0,22320,1983,4,5,6050.0,3.0,1,167.0,1,0,0,1,462.8099173553719,700000.0,1.25
21207846,2600000.0,85739,-110.883065,32.508778,0.0,8753,2008,3,3,3095.0,0.0,3,0.0,1,0,0,1,840.064620355412,866666.6666666666,1.0
21301309,2000000.0,85750,-110.848679,32.321134,0.64,11322,2001,5,6,7471.0,3.0,5,123.0,1,0,0,1,267.7017802168384,400000.0,1.2
21503191,2400000.0,85718,-110.918097,32.337925,3.42,22655,2005,4,7,6356.0,4.0,3,421.0,1,0,0,1,377.5959723096287,600000.0,1.75
21331920,1950000.0,85718,-110.933703,32.304249,13.16,16354,1936,7,8,5645.0,2.0,7,0.0,0,1,0,1,345.43844109831707,278571.4285714286,1.1428571428571428
21701192,2400000.0,85750,-110.809735,32.280309,0.64,13519,1998,3,4,4651.0,3.0,3,300.0,1,0,0,1,516.0180606321221,800000.0,1.3333333333333333
21828650,2550000.0,85718,-110.922044,32.290263,2.84,22070,2004,5,8,8110.0,4.0,6,194.0,1,0,0,1,314.42663378545006,510000.0,1.6
21830939,2600000.0,85739,-110.883055,32.508861,0.15,30072,2008,3,3,3095.0,0.0,3,1717.0,1,0,0,1,840.064620355412,866666.6666666666,1.0
21810373,2350000.0,85658,-111.039845,32.451596,13.0,31275,2007,3,5,5391.0,3.0,6,342.0,0,1,0,1,435.91170469300687,783333.3333333334,1.6666666666666667
21332804,2175000.0,85718,-110.910663,32.338282,1.27,21795,1997,5,6,7132.0,3.0,2,422.0,1,0,0,1,304.9635445877734,435000.0,1.2
21424469,2500000.0,85609,-110.095713,32.057222,1048.18,2441,1985,2,2,2895.0,0.0,1,0.0,0,1,0,1,863.5578583765113,1250000.0,1.0
21906412,2350000.0,85750,-110.858327,32.331597,1.55,5931,2018,6,6,6083.0,4.0,3,240.0,1,0,1,0,386.3225382212724,391666.6666666667,1.0
21903141,2100000.0,85718,-110.913573,32.337226,1.01,5785,2019,4,5,5767.0,3.0,3,437.0,0,1,1,0,364.14080110976244,525000.0,1.25
21402096,1900000.0,85750,-110.84391,32.32846,1.16,16714,2002,4,4,5333.0,3.0,2,112.0,1,0,0,1,356.27226701668855,475000.0,1.0
21120740,2050000.0,85718,-110.945806,32.353228,3.22,26856,2010,4,6,6226.0,5.0,4,199.0,0,1,0,1,329.264375200771,512500.0,1.5
21032556,2150000.0,85718,-110.915749,32.338765,1.91,20960,2000,4,6,6224.0,3.0,3,357.0,0,1,0,1,345.4370179948586,537500.0,1.5
21307177,2495000.0,85637,-110.740635,31.720431,131.0,1220,1999,13,15,13000.0,0.0,4,0.0,0,1,0,1,191.92307692307693,191923.07692307694,1.1538461538461537
