MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21611603,585000.0,85750,-110.856319,32.314017,0.85,6394,1980,4,3,3264.0,4.0,2,44.0,1,0,0,1,179.22794117647058,146250.0,0.75,0,32.314017-110.856319
21626898,549000.0,85739,-110.868656,32.539651,0.19,3938,1999,4,3,3511.0,3.0,1,199.0,0,1,0,1,156.36570777556253,137250.0,0.75,0,32.539651-110.868656
21505274,520000.0,85716,-110.920526,32.229731,0.2,3266,1951,3,4,3276.0,1.0,2,0.0,0,1,0,1,158.7301587301587,173333.33333333334,1.3333333333333333,0,32.229731-110.920526
21904919,1100000.0,85658,-111.100441,32.469199,0.29,12681,2014,3,3,2308.0,2.0,1,0.0,1,0,0,1,476.6031195840554,366666.6666666667,1.0,1,32.469199-111.100441
21621037,677500.0,85718,-110.928785,32.333039,1.61,6520,1995,4,4,3411.0,3.0,2,0.0,1,0,0,1,198.6221049545588,169375.0,1.0,0,32.333039-110.928785
21414149,550000.0,85658,-111.074224,32.4315,0.22,5238,2006,4,3,2680.0,3.0,0,37.0,0,1,0,1,205.22388059701493,137500.0,0.75,0,32.4315-111.074224
21211305,576000.0,85718,-110.909048,32.320107,0.2,4234,1986,3,3,2886.0,3.0,1,295.0,0,1,0,1,199.5841995841996,192000.0,1.0,0,32.320107-110.909048
21700973,875000.0,85716,-110.92431,32.223191,0.5,6334,1955,4,5,4610.0,3.0,2,0.0,0,1,0,1,189.8047722342733,218750.0,1.25,0,32.223191-110.92431
21524562,580000.0,85718,-110.898423,32.330818,0.83,3598,1973,3,3,2764.0,2.0,1,75.0,1,0,0,1,209.8408104196816,193333.3333333333,1.0,0,32.330818-110.898423
21914564,550000.0,85711,-110.863154,32.22372,0.59,3133,1961,5,3,3083.0,0.0,1,0.0,0,1,0,1,178.39766461239054,110000.0,0.6,0,32.22372-110.863154
21716189,680000.0,85755,-110.990761,32.429979,0.83,6492,2002,4,3,3384.0,3.0,3,18.0,0,1,0,1,200.94562647754137,170000.0,0.75,0,32.429979-110.990761
21629208,575000.0,85739,-110.885332,32.464449,2.0,6470,1988,3,2,3135.0,2.0,1,0.0,0,1,0,1,183.41307814992027,191666.66666666663,0.6666666666666666,0,32.464449-110.885332
21725636,1500000.0,85718,-110.945973,32.34908,1.03,12808,2011,4,5,4368.0,3.0,2,168.0,1,0,0,1,343.4065934065934,375000.0,1.25,1,32.34908-110.945973
21823571,600000.0,85541,-111.33586,34.314889,2.49,1993,1975,4,2,2367.0,2.0,2,0.0,0,1,0,1,253.48542458808615,150000.0,0.5,1,34.314889-111.33586
21605416,825000.0,85749,-110.761937,32.29936,3.3,7116,2003,4,4,4340.0,3.0,2,126.0,0,1,0,1,190.0921658986175,206250.0,1.0,0,32.29936-110.761937
21307662,600000.0,85742,-111.018713,32.394126,1.13,4720,2005,4,4,3476.0,3.0,1,53.0,0,1,0,1,172.6121979286536,150000.0,1.0,0,32.394126-111.018713
21918808,610000.0,85742,-111.076231,32.396369,3.31,5276,2007,4,3,2839.0,3.0,1,0.0,0,1,0,1,214.86438886932015,152500.0,0.75,1,32.396369-111.076231
21625061,677900.0,85750,-110.859218,32.320718,0.98,6950,1991,4,3,3122.0,3.0,1,41.0,0,1,0,1,217.13645099295323,169475.0,0.75,1,32.320718-110.859218
21425451,740000.0,85718,-110.93192,32.336971,1.03,5609,1994,4,4,3669.0,3.0,2,100.0,0,1,0,1,201.68983374216407,185000.0,1.0,0,32.336971-110.93192
21609443,905000.0,85718,-110.958261,32.350235,4.75,11429,1977,7,6,5763.0,3.0,4,5.0,0,1,0,1,157.03626583376715,129285.71428571428,0.8571428571428571,0,32.350235-110.958261
21826374,675000.0,85755,-110.987166,32.428733,0.58,6736,2001,4,3,3186.0,3.0,1,18.0,0,1,1,0,211.864406779661,168750.0,0.75,0,32.428733-110.987166
21524746,1000000.0,85641,-110.610287,32.129735,41.04,12258,1940,7,9,8335.0,0.0,5,122.0,0,1,0,1,119.9760047990402,142857.14285714287,1.2857142857142858,0,32.129735-110.610287
