ZIP Code,City,Latitude,Longitude
85001,Phoenix city,33.57,-112.09
85002,Phoenix city,33.57,-112.09
85003,Phoenix city,33.57,-112.09
85004,Phoenix city,33.57,-112.09
85005,Phoenix city,33.57,-112.09
85006,Phoenix city,33.57,-112.09
85007,Phoenix city,33.57,-112.09
85008,Phoenix city,33.57,-112.09
85009,Phoenix city,33.57,-112.09
85010,Phoenix city,33.57,-112.09
85011,Phoenix city,33.57,-112.09
85012,Phoenix city,33.57,-112.09
85013,Phoenix city,33.57,-112.09
85014,Phoenix city,33.57,-112.09
85015,Phoenix city,33.57,-112.09
85016,Phoenix city,33.57,-112.09
85017,Phoenix city,33.57,-112.09
85018,Phoenix city,33.57,-112.09
85019,Phoenix city,33.57,-112.09
85020,Phoenix city,33.57,-112.09
85021,Phoenix city,33.57,-112.09
85022,Phoenix city,33.57,-112.09
85023,Phoenix city,33.57,-112.09
85024,Phoenix city,33.57,-112.09
85026,Phoenix city,33.57,-112.09
85027,Phoenix city,33.57,-112.09
85028,Phoenix city,33.57,-112.09
85029,Phoenix city,33.57,-112.09
85030,Phoenix city,33.57,-112.09
85031,Phoenix city,33.57,-112.09
85032,Phoenix city,33.57,-112.09
85033,Phoenix city,33.57,-112.09
85034,Phoenix city,33.57,-112.09
85035,Phoenix city,33.57,-112.09
85036,Phoenix city,33.57,-112.09
85037,Phoenix city,33.57,-112.09
85038,Phoenix city,33.57,-112.09
85039,Phoenix city,33.57,-112.09
85040,Phoenix city,33.57,-112.09
85041,Phoenix city,33.57,-112.09
85042,Phoenix city,33.57,-112.09
85043,Phoenix city,33.57,-112.09
85044,Phoenix city,33.57,-112.09
85045,Phoenix city,33.57,-112.09
85046,Phoenix city,33.57,-112.09
85048,Phoenix city,33.57,-112.09
85050,Phoenix city,33.57,-112.09
85051,Phoenix city,33.57,-112.09
85053,Phoenix city,33.57,-112.09
85054,Phoenix city,33.57,-112.09
85060,Phoenix city,33.57,-112.09
85061,Phoenix city,33.57,-112.09
85062,Phoenix city,33.57,-112.09
85063,Phoenix city,33.57,-112.09
85064,Phoenix city,33.57,-112.09
85065,Phoenix city,33.57,-112.09
85066,Phoenix city,33.57,-112.09
85067,Phoenix city,33.57,-112.09
85068,Phoenix city,33.57,-112.09
85069,Phoenix city,33.57,-112.09
85070,Phoenix city,33.57,-112.09
85071,Phoenix city,33.57,-112.09
85072,Phoenix city,33.57,-112.09
85073,Phoenix city,33.57,-112.09
85074,Phoenix city,33.57,-112.09
85075,Phoenix city,33.57,-112.09
85076,Phoenix city,33.57,-112.09
85078,Phoenix city,33.57,-112.09
85079,Phoenix city,33.57,-112.09
85080,Phoenix city,33.57,-112.09
85082,Phoenix city,33.57,-112.09
85083,Phoenix city,33.57,-112.09
85085,Phoenix city,33.57,-112.09
85086,Phoenix city,33.57,-112.09
85087,New Kingman-Butler,35.26,-114.01
85117,Apache Junction city,33.4,-111.53
85119,Apache Junction city,33.4,-111.53
85120,Apache Junction city,33.4,-111.53
85178,Apache Junction city,33.4,-111.53
85625,Apache Junction city,33.4,-111.53
85118,Gold Canyon,33.37,-111.44
85121,Chinle,36.15,-109.58
85606,Chinle,36.15,-109.58
86503,Chinle,36.15,-109.58
85122,Casa Blanca,33.12,-111.91
85130,Casa Blanca,33.12,-111.91
85193,Casa Blanca,33.12,-111.91
85194,Casa Blanca,33.12,-111.91
85123,Arizona City,32.75,-111.67
85127,Chandler city,33.28,-111.85
85224,Chandler city,33.28,-111.85
85225,Chandler city,33.28,-111.85
85226,Chandler city,33.28,-111.85
85244,Chandler city,33.28,-111.85
85246,Chandler city,33.28,-111.85
85248,Chandler city,33.28,-111.85
85249,Chandler city,33.28,-111.85
85286,Chandler city,33.28,-111.85
85128,Coolidge city,32.96,-111.53
85131,Eloy city,32.75,-111.6
85132,Florence town,33.05,-111.41
85135,Hayden town,33.0,-110.78
86024,Hayden town,33.0,-110.78
85137,Kearny town,33.06,-110.91
85138,Maricopa city,33.04,-112.02
85139,Maricopa city,33.04,-112.02
85140,Lower Santan Village,33.14,-111.79
85143,Lower Santan Village,33.14,-111.79
85144,Lower Santan Village,33.14,-111.79
85336,Lower Santan Village,33.14,-111.79
85349,Lower Santan Village,33.14,-111.79
85550,Lower Santan Village,33.14,-111.79
85630,Lower Santan Village,33.14,-111.79
85631,Lower Santan Village,33.14,-111.79
85632,Lower Santan Village,33.14,-111.79
85936,Lower Santan Village,33.14,-111.79
86511,Lower Santan Village,33.14,-111.79
85141,Picacho,32.71,-111.49
85142,Queen Creek town,33.24,-111.64
85145,Fredonia town,36.97,-112.52
86022,Fredonia town,36.97,-112.52
86544,Fredonia town,36.97,-112.52
85147,Sacaton,33.08,-111.77
85172,Stanfield,32.88,-111.96
85173,Superior town,33.29,-111.11
85190,Hotevilla-Bacavi,35.92,-110.66
86030,Hotevilla-Bacavi,35.92,-110.66
85191,Valle,35.62,-112.14
85341,Valle,35.62,-112.14
85192,Winkelman town,32.98,-110.77
85201,First Mesa,35.84,-110.37
85202,First Mesa,35.84,-110.37
85203,First Mesa,35.84,-110.37
85204,First Mesa,35.84,-110.37
85205,First Mesa,35.84,-110.37
85206,First Mesa,35.84,-110.37
85207,First Mesa,35.84,-110.37
85208,First Mesa,35.84,-110.37
85209,First Mesa,35.84,-110.37
85210,First Mesa,35.84,-110.37
85211,First Mesa,35.84,-110.37
85212,First Mesa,35.84,-110.37
85213,First Mesa,35.84,-110.37
85214,First Mesa,35.84,-110.37
85215,First Mesa,35.84,-110.37
85216,First Mesa,35.84,-110.37
85274,First Mesa,35.84,-110.37
85275,First Mesa,35.84,-110.37
85277,First Mesa,35.84,-110.37
85233,Gilbert town,33.31,-111.75
85234,Gilbert town,33.31,-111.75
85295,Gilbert town,33.31,-111.75
85296,Gilbert town,33.31,-111.75
85297,Gilbert town,33.31,-111.75
85298,Gilbert town,33.31,-111.75
85299,Gilbert town,33.31,-111.75
85236,Haigler Creek,34.22,-110.97
85250,Scottsdale city,33.69,-111.87
85251,Scottsdale city,33.69,-111.87
85252,Scottsdale city,33.69,-111.87
