sold_price,longitude,zipcode,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_standard,floor_covering_luxury,kitchen_features_standard,kitchen_features_luxury,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,NAME
5300000.0,-110.64,85637,31.66,2154.0,5272,1941,13,10,10500.0,0.0,6,0.0,1,0,1,0,504.7619047619048,407692.3076923077,0.7692307692307693,Sonoita
4200000.0,-111.045371,85646,31.594213,1707.0,10422,1997,2,2,7300.0,0.0,5,0.0,0,1,1,0,575.3424657534247,2100000.0,1.0,Tumacacori-Carmen
4200000.0,-111.06,85646,31.61,1707.0,10482,1997,2,3,3514.0,3.0,5,0.0,0,1,1,0,1195.219123505976,2100000.0,1.5,Tubac
4500000.0,-111.035925,85646,31.645878,636.67,8418,1930,7,5,9019.0,4.0,4,0.0,1,0,1,0,498.9466681450272,642857.1428571428,0.7142857142857143,Tubac
3411450.0,-110.813768,85750,32.285162,3.21,15393,1995,4,6,6396.0,3.0,5,55.0,1,0,1,0,533.3724202626641,852862.5,1.5,Catalina Foothills
3250000.0,-110.910593,85718,32.33909,1.67,27802,1999,3,4,6842.0,3.0,5,422.0,0,1,1,0,475.0073078047354,1083333.3333333333,1.3333333333333333,Catalina Foothills
2400000.0,-110.883315,85712,32.261069,2.1,19038,2001,9,8,12025.0,4.0,6,0.0,0,1,1,0,199.5841995841996,266666.6666666667,0.8888888888888888,Tucson
2500000.0,-110.861002,85750,32.331603,1.07,21646,2011,6,8,8921.0,4.0,5,220.0,0,1,1,0,280.237641520009,416666.6666666667,1.3333333333333333,Catalina Foothills
3700000.0,-110.912156,85718,32.343601,6.73,25094,2002,5,7,5238.0,3.0,1,421.0,0,1,1,0,706.3764795723558,740000.0,1.4,Catalina Foothills
3250000.0,-110.83795,85750,32.327575,3.53,18936,2007,5,6,6480.0,3.0,2,141.67,1,0,1,0,501.5432098765432,650000.0,1.2,Catalina Foothills
2776518.0,-111.05,85640,31.58,147.18,7330,1935,5,5,5067.0,5.0,5,0.0,0,1,1,0,547.9609236234459,555303.6,1.0,Tumacacori-Carmen
2050000.0,-110.918294,85718,32.341609,1.65,24353,2009,5,6,7230.0,3.0,4,357.0,0,1,1,0,283.54080221300137,410000.0,1.2,Catalina Foothills
2100000.0,-110.64,85637,31.66,29.6,11723,1995,6,7,6454.0,3.0,4,0.0,0,1,1,0,325.37960954446856,350000.0,1.1666666666666667,Sonoita
2200000.0,-111.049837,85658,32.483063,1.82,5198,2015,4,6,5826.0,3.0,3,148.0,0,1,1,0,377.617576381737,550000.0,1.5,Marana
3000000.0,-110.883068,85739,32.508778,0.0,8980,2008,3,3,3095.0,0.0,3,1717.0,0,1,1,0,969.3053311793216,1000000.0,1.0,Catalina
2600000.0,-110.883252,85739,32.507699,0.0,18044,2008,3,3,3095.0,0.0,3,0.0,0,1,1,0,840.064620355412,866666.6666666666,1.0,Catalina
3000000.0,-110.843588,85750,32.327533,3.1,24040,2002,3,6,7756.0,3.0,3,142.0,0,1,0,1,386.79731820526047,1000000.0,2.0,Catalina Foothills
2500000.0,-110.942458,85718,32.350702,1.25,19565,2010,4,5,5338.0,4.0,5,173.0,0,1,1,0,468.3402023229674,625000.0,1.25,Catalina Foothills
2600000.0,-110.883239,85739,32.50904,0.0,17567,2008,3,3,3095.0,0.0,3,0.0,0,1,1,0,840.064620355412,866666.6666666666,1.0,Catalina
2800000.0,-110.837572,85750,32.328412,93.0,22320,1983,4,5,6050.0,3.0,1,167.0,0,1,1,0,462.8099173553719,700000.0,1.25,Catalina Foothills
