latitude,longitude,price_per_ft_category
32.225625,-110.75941,2
32.313499,-110.830548,2
32.252516,-110.760576,2
32.478547,-111.051445,2
32.317171,-110.952894,1
32.282774,-110.821344,2
32.184365,-110.746657,1
32.320073,-111.081556,2
32.324748,-110.85357,3
32.426201,-110.986028,1
32.482187,-111.045841,2
32.307184,-110.927569,2
32.284422,-110.898046,2
32.339499,-110.928038,3
32.408164,-111.033783,1
32.286121,-110.93073,1
32.426978,-110.976169,2
32.286842,-110.8168,1
32.31046,-110.919399,2
32.294103,-110.957508,1
32.254389,-110.85333,2
32.290851,-110.770583,1
32.414302,-110.96225,1
32.227244,-110.92558,1
32.339612,-110.93007,1
32.288935,-110.823498,2
32.321722,-110.831054,1
32.319831,-110.851918,2
32.330818,-110.898423,2
32.315963,-110.949256,2
32.228872,-110.939742,2
32.332996,-110.890689,2
32.288927,-110.736693,1
32.318272,-110.901065,2
32.224589,-111.040915,2
32.251801,-110.795669,1
32.325839,-110.876375,1
32.322481,-110.939245,2
32.302659,-110.739649,1
32.467716,-110.98931,3
32.163673,-110.752763,1
32.462823,-111.115877,2
32.300503,-110.885836,2
32.331791,-110.90746,1
32.172671,-110.760436,1
32.467815,-111.086385,3
32.468321,-110.962112,2
32.443188,-110.964068,1
32.321658,-110.899862,2
32.320051,-110.880066,1
32.311675,-111.088331,2
32.424622,-110.981763,2
32.298112,-110.924654,1
32.330337,-110.876183,1
32.242475,-110.705947,1
32.224596,-111.040904,2
32.293253,-110.919814,2
32.304893,-111.060747,1
32.223664,-110.909907,1
32.188552,-110.75012,1
32.47077,-111.101901,4
32.400219,-110.948495,2
32.299891,-110.75508,1
32.261332,-110.849309,1
32.430563,-111.076721,1
32.322104,-110.835455,1
32.299329,-110.720577,1
32.330803,-110.984397,1
32.37596,-110.983975,2
31.574849,-110.774954,3
32.539651,-110.868656,1
32.513671,-110.900962,2
32.384054,-110.947919,2
32.295837,-110.90497,1
32.252215,-110.761132,2
32.255588,-110.856813,1
32.260233,-110.884074,2
32.303759,-110.878975,2
32.273997,-110.767949,1
32.219192,-110.920729,1
32.46291,-110.99301,2
32.244304,-110.728233,1
32.438041,-110.977216,2
32.320144,-110.867043,1
32.383653,-110.982187,2
32.271991,-110.862787,2
32.322412,-110.935833,2
32.234887,-110.961392,2
32.197544,-111.038283,2
32.522267,-110.892736,2
32.320413,-110.904878,2
32.441653,-110.758967,2
32.306199,-110.784706,1
32.318249,-110.924846,2
