MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category
21523997,550000.0,85745,-110.986033,32.219063,0.05,3957,2011,2,3,1690.0,2.0,1,99.0,0,1,0,1,325.4437869822485,275000.0,1.5,1
21819461,680000.0,85745,-110.986032,32.219062,0.05,4445,2011,2,3,1690.0,2.0,1,99.0,0,1,0,1,402.36686390532543,340000.0,1.5,1
21428822,799000.0,85749,-110.808671,32.264502,60.57,31277,1955,2,2,1774.0,0.0,1,0.0,0,1,0,1,450.3945885005637,399500.0,1.0,1
21433346,900000.0,85749,-110.808671,32.2645,60.57,11357,1955,2,2,1774.0,0.0,1,0.0,0,1,0,1,507.3280721533258,450000.0,1.0,1
21919781,650000.0,85745,-110.986509,32.218458,0.09,3566,2007,2,3,1780.0,0.0,0,99.0,0,1,1,0,365.1685393258427,325000.0,1.5,1
21908254,597500.0,85745,-110.98652,32.218465,0.09,3403,2007,2,3,1780.0,0.0,0,75.0,0,1,0,1,335.6741573033708,298750.0,1.5,1
21208267,650716.0,85658,-111.053085,32.418519,0.37,2171,2012,3,2,2148.0,2.0,2,51.0,0,1,0,1,302.9404096834264,216905.3333333333,0.6666666666666666,1
21829607,630000.0,85658,-111.053104,32.418523,0.37,7337,2012,3,2,2148.0,2.0,2,30.0,0,1,0,1,293.2960893854749,210000.0,0.6666666666666666,1
21807188,545000.0,85750,-110.87353,32.327581,0.21,5322,1988,3,3,2162.0,2.0,1,240.0,0,1,1,0,252.08140610545792,181666.66666666663,1.0,1
21533141,533000.0,85750,-110.87353,32.327573,0.21,4570,1988,3,3,2162.0,2.0,1,219.0,0,1,0,1,246.53098982423683,177666.66666666666,1.0,1
21611691,555000.0,85750,-110.853032,32.32219,0.14,5167,1999,3,3,2191.0,2.0,1,107.0,0,1,0,1,253.30899132816063,185000.0,1.0,1
21706962,550000.0,85750,-110.852023,32.321209,0.14,5180,1996,3,3,2191.0,2.0,1,107.0,0,1,0,1,251.02692834322227,183333.3333333333,1.0,1
21726626,639500.0,85750,-110.852833,32.320211,0.16,5203,1998,3,3,2218.0,2.0,1,107.0,0,1,0,1,288.32281334535617,213166.66666666663,1.0,1
21731314,635000.0,85750,-110.852453,32.321579,0.16,4804,1998,3,3,2218.0,2.0,1,107.0,0,1,0,1,286.29395852119023,211666.66666666663,1.0,1
21903221,637000.0,85750,-110.854665,32.321606,0.16,6030,1999,3,3,2218.0,2.0,1,115.0,1,0,0,1,287.1956717763751,212333.3333333333,1.0,1
21424127,549750.0,85719,-110.954361,32.260253,0.23,3581,2008,3,3,2297.0,2.0,0,0.0,0,1,0,1,239.33391380060948,183250.0,1.0,1
21605007,565000.0,85719,-110.954381,32.26025,0.23,3812,2008,3,3,2297.0,2.0,0,0.0,0,1,0,1,245.9730082716587,188333.3333333333,1.0,1
21204384,552500.0,85750,-110.840136,32.283039,1.61,3792,1985,3,2,2348.0,2.0,1,0.0,1,0,0,1,235.30664395229985,184166.66666666663,0.6666666666666666,1
21921325,579000.0,85750,-110.840128,32.283029,1.61,4298,1994,3,2,2348.0,2.0,1,0.0,0,1,1,0,246.59284497444636,193000.0,0.6666666666666666,1
21626699,650000.0,85718,-110.908545,32.318511,0.17,5520,1992,3,3,2409.0,2.0,2,323.0,0,1,0,1,269.821502698215,216666.66666666663,1.0,1
21212475,565000.0,85718,-110.908554,32.318525,0.17,3850,1992,3,3,2409.0,2.0,2,294.0,0,1,0,1,234.5371523453715,188333.3333333333,1.0,1
21530592,630000.0,85718,-110.910917,32.315607,0.16,5684,2004,3,3,2462.0,2.0,1,159.0,0,1,0,1,255.889520714866,210000.0,1.0,1
21828656,550000.0,85718,-110.910695,32.319105,0.16,6353,2004,3,3,2462.0,2.0,1,157.0,0,1,1,0,223.39561332250204,183333.3333333333,1.0,1
21223424,575000.0,85718,-110.910144,32.319105,0.16,4451,2005,3,3,2462.0,2.0,1,145.0,0,1,0,1,233.54995938261573,191666.66666666663,1.0,1
21532612,565000.0,85739,-110.901619,32.515119,0.27,3289,2006,3,4,2468.0,3.0,1,155.0,0,1,0,1,228.93030794165315,188333.3333333333,1.3333333333333333,1
21327229,598000.0,85739,-110.901633,32.515127,0.27,2974,2006,3,4,2468.0,3.0,1,140.0,0,1,0,1,242.3014586709887,199333.3333333333,1.3333333333333333,1
21331596,623000.0,85658,-111.076801,32.463817,0.48,8372,2003,3,3,2484.0,2.0,3,257.0,1,0,0,1,250.805152979066,207666.66666666663,1.0,1
21223880,556500.0,85658,-111.076821,32.463822,0.48,8534,2003,3,3,2484.0,2.0,3,249.0,1,0,0,1,224.0338164251208,185500.0,1.0,1
21502613,550000.0,85742,-111.020915,32.391457,1.03,4692,2005,4,3,2519.0,3.0,2,56.0,0,1,0,1,218.34061135371175,137500.0,0.75,1
21918778,580000.0,85742,-111.020915,32.391455,1.03,5593,2005,4,3,2519.0,3.0,2,56.0,0,1,0,1,230.25009924573243,145000.0,0.75,1
21730801,950795.0,85719,-110.938701,32.243375,0.2,0,2018,3,3,2580.0,3.0,1,125.0,1,0,1,0,368.5251937984496,316931.6666666667,1.0,1
21730831,900000.0,85719,-110.939027,32.243327,0.2,0,2018,3,3,2580.0,3.0,1,125.0,1,0,1,0,348.8372093023256,300000.0,1.0,1
21519586,615000.0,85716,-110.921889,32.216848,0.6,3988,1967,4,4,2594.0,1.0,1,0.0,0,1,0,1,237.0855821125675,153750.0,1.0,1
21911863,725000.0,85716,-110.92189,32.216851,0.6,4807,1967,4,4,2594.0,1.0,1,0.0,0,1,0,1,279.491133384734,181250.0,1.0,1
21128857,683000.0,85739,-110.85832,32.541542,0.3,4159,2007,2,3,2599.0,3.0,1,140.0,0,1,0,1,262.7933820700269,341500.0,1.5,1
21730461,710000.0,85739,-110.858323,32.541537,0.3,5423,2007,2,3,2599.0,3.0,1,170.0,0,1,0,1,273.1819930742593,355000.0,1.5,1
21507627,565000.0,85750,-110.868461,32.322464,0.57,5038,1999,4,3,2607.0,3.0,1,45.0,0,1,0,1,216.7242040659762,141250.0,0.75,1
21719775,580000.0,85750,-110.868483,32.322485,0.57,6036,1999,4,3,2607.0,3.0,1,40.0,0,1,0,1,222.47794399693132,145000.0,0.75,1
21706979,670000.0,85718,-110.91102,32.314731,0.16,7376,2004,3,3,2628.0,3.0,1,157.0,0,1,0,1,254.94672754946728,223333.3333333333,1.0,1
21303266,630000.0,85718,-110.91102,32.314732,0.16,5397,2004,3,3,2628.0,3.0,1,150.0,0,1,0,1,239.72602739726028,210000.0,1.0,1
21803672,680000.0,85718,-110.917178,32.312064,1.0,5750,1994,4,3,2665.0,3.0,1,195.0,0,1,0,1,255.15947467166976,170000.0,0.75,1
21504022,640000.0,85718,-110.917178,32.312069,1.0,4301,1994,4,3,2665.0,3.0,1,175.0,0,1,0,1,240.1500938086304,160000.0,0.75,1
21814465,534000.0,85739,-110.859829,32.54657,0.29,4184,2006,2,3,2681.0,3.0,1,180.0,0,1,1,0,199.17941066766133,267000.0,1.5,0
21207750,680000.0,85739,-110.86056,32.551038,0.29,3558,2005,2,3,2681.0,3.0,1,129.0,0,1,0,1,253.6367027228646,340000.0,1.5,1
21615181,545000.0,85743,-111.081624,32.317832,3.3,5274,2002,4,3,2691.0,3.0,1,62.0,0,1,0,1,202.52694165737643,136250.0,0.75,0
21901810,580000.0,85743,-111.080411,32.318438,3.3,5688,2002,4,3,2691.0,3.0,1,134.5,0,1,1,0,215.53325901151987,145000.0,0.75,1
21421090,584911.0,85737,-110.964334,32.405701,0.42,2042,2014,4,3,2700.0,3.0,1,75.0,0,1,0,1,216.6337037037037,146227.75,0.75,1
21802829,640000.0,85737,-110.964714,32.405546,0.42,7150,2014,4,3,2700.0,3.0,1,75.0,0,1,0,1,237.03703703703704,160000.0,0.75,1
21324584,560000.0,85658,-111.085176,32.462983,0.22,5389,2005,3,4,2711.0,2.0,3,214.0,0,1,0,1,206.5658428624124,186666.66666666663,1.3333333333333333,0
21730320,625000.0,85658,-111.085176,32.46298,0.22,8231,2005,3,4,2711.0,2.0,3,213.0,0,1,0,1,230.54223533751383,208333.3333333333,1.3333333333333333,1
21802305,609000.0,85658,-111.086252,32.463554,0.23,6307,2003,3,4,2711.0,2.0,4,213.0,1,0,1,0,224.64035411287347,203000.0,1.3333333333333333,1
21900313,610000.0,85658,-111.086241,32.463557,0.23,6424,2003,3,4,2711.0,2.0,4,213.0,1,0,1,0,225.0092216894135,203333.3333333333,1.3333333333333333,1
21316182,575000.0,85718,-110.943617,32.317116,1.29,3788,1975,3,3,2766.0,2.0,2,16.0,1,0,0,1,207.881417208966,191666.66666666663,1.0,0
