ZIP Code,City
85001,Phoenix city
85002,Phoenix city
85003,Phoenix city
85004,Phoenix city
85005,Phoenix city
85006,Phoenix city
85007,Phoenix city
85008,Phoenix city
85009,Phoenix city
85010,Phoenix city
85011,Phoenix city
85012,Phoenix city
85013,Phoenix city
85014,Phoenix city
85015,Phoenix city
85016,Phoenix city
85017,Phoenix city
85018,Phoenix city
85019,Phoenix city
85020,Phoenix city
85021,Phoenix city
85022,Phoenix city
85023,Phoenix city
85024,Phoenix city
85026,Phoenix city
85027,Phoenix city
85028,Phoenix city
85029,Phoenix city
85030,Phoenix city
85031,Phoenix city
85032,Phoenix city
85033,Phoenix city
85034,Phoenix city
85035,Phoenix city
85036,Phoenix city
85037,Phoenix city
85038,Phoenix city
85039,Phoenix city
85040,Phoenix city
85041,Phoenix city
85042,Phoenix city
85043,Phoenix city
85044,Phoenix city
85045,Phoenix city
85046,Phoenix city
85048,Phoenix city
85050,Phoenix city
85051,Phoenix city
85053,Phoenix city
85054,Phoenix city
85060,Phoenix city
85061,Phoenix city
85062,Phoenix city
85063,Phoenix city
85064,Phoenix city
85065,Phoenix city
85066,Phoenix city
85067,Phoenix city
85068,Phoenix city
85069,Phoenix city
85070,Phoenix city
85071,Phoenix city
85072,Phoenix city
85073,Phoenix city
85074,Phoenix city
85075,Phoenix city
85076,Phoenix city
85078,Phoenix city
85079,Phoenix city
85080,Phoenix city
85082,Phoenix city
85083,Phoenix city
85085,Phoenix city
85086,Phoenix city
85087,New Kingman-Butler
85117,Apache Junction city
85118,Gold Canyon
85119,Apache Junction city
85120,Apache Junction city
85121,Chinle
85122,Casa Blanca
85123,Arizona City
85127,Chandler city
85128,Coolidge city
85130,Casa Blanca
85131,Eloy city
85132,Florence town
85135,Hayden town
85137,Kearny town
85138,Maricopa city
85139,Maricopa city
85140,Lower Santan Village
85141,Picacho
85142,Queen Creek town
85143,Lower Santan Village
85144,Lower Santan Village
85145,Fredonia town
85147,Sacaton
85172,Stanfield
85173,Superior town
85178,Apache Junction city
85190,Hotevilla-Bacavi
85191,Valle
85192,Winkelman town
85193,Casa Blanca
85194,Casa Blanca
85201,First Mesa
85202,First Mesa
85203,First Mesa
85204,First Mesa
85205,First Mesa
85206,First Mesa
85207,First Mesa
85208,First Mesa
85209,First Mesa
85210,First Mesa
85211,First Mesa
85212,First Mesa
85213,First Mesa
85214,First Mesa
85215,First Mesa
85216,First Mesa
85224,Chandler city
85225,Chandler city
85226,Chandler city
85233,Gilbert town
85234,Gilbert town
85236,Haigler Creek
85244,Chandler city
85246,Chandler city
85248,Chandler city
85249,Chandler city
85250,Scottsdale city
85251,Scottsdale city
85252,Scottsdale city
85253,Paradise Valley town
85254,Scottsdale city
85255,Scottsdale city
85256,Scottsdale city
85257,Scottsdale city
85258,Scottsdale city
85259,Scottsdale city
85260,Scottsdale city
85261,Scottsdale city
85262,Scottsdale city
85263,Nutrioso
85264,Fort Apache
85266,Scottsdale city
85267,Scottsdale city
85268,Fountain Hills town
85269,Fountain Hills town
85271,Scottsdale city
85274,First Mesa
85275,First Mesa
85277,First Mesa
85280,Tempe city
85281,Tempe city
85282,Tempe city
85283,Tempe city
85284,Tempe city
85285,Tempe city
85286,Chandler city
85287,Tempe city
85288,Tempe city
85295,Gilbert town
85296,Gilbert town
85297,Gilbert town
85298,Gilbert town
85299,Gilbert town
85301,Glendale city
85302,Glendale city
85303,Glendale city
85304,Glendale city
85305,Glendale city
85306,Glendale city
85307,Glendale city
85308,Glendale city
85309,Alamo Lake
85310,Glendale city
85311,Glendale city
85312,Glendale city
85318,Glendale city
85320,Aguila
85321,Ajo
85322,Arlington
85323,Avondale city
85324,Black Canyon City
85325,Bouse
85326,Buckeye town
85327,Cave Creek town
85328,Cibola
85329,Moccasin
85331,Cave Creek town
85332,Congress
85333,Dateland
85334,Ehrenberg
85335,Cornfields
85336,Lower Santan Village
85337,Gila Bend town
85338,Goodyear city
85339,Summerhaven
85340,Litchfield Park city
85341,Valle
85342,Morristown
85343,Palominas
85344,Parker Strip
85345,Peoria city
85346,Quartzsite town
85347,Rillito
85348,Salome
85349,Lower Santan Village
85350,Somerton city
85351,Sun City
85352,Tacna
85353,Tolleson city
85354,Tonopah
85355,Gadsden
85356,Wellton Hills
85357,Wenden
85358,Wickenburg town
85359,Quartzsite town
85360,Wikieup
85361,Wittmann
85362,Yarnell
85363,Young
85364,Yuma city
85365,Yuma city
85366,Yuma city
85367,Yuma city
85369,Yuma city
85371,Poston
85372,Sun City
85373,Sun City
85374,Surprise city
85375,Sun City
85376,Sun City
85377,Carefree town
85378,Surprise city
85379,Surprise city
85380,Peoria city
85381,Peoria city
85382,Peoria city
85383,Peoria city
85385,Peoria city
85387,Surprise city
85388,Surprise city
85390,Wickenburg town
85392,Avondale city
85395,Goodyear city
85396,Buckeye town
85501,East Globe
85502,East Globe
85530,Bylas
85531,Central
85532,Claypool
85533,Clifton town
85534,Duncan town
85535,Wenden
85536,Fort Apache
85539,Miami town
85540,Morenci
85541,Payson town
85542,Peridot
85543,Pima town
85544,Pine
85545,Roosevelt
85546,Safford city
85547,Payson town
85548,Safford city
85550,Lower Santan Village
85551,Solomon
85552,Thatcher town
85553,Tonto Basin
85554,Young
85601,Arivaca
85602,Benson city
85603,Bisbee city
85605,Bowie
85606,Chinle
85607,Douglas city
85608,Douglas city
85609,Dragoon
85610,Elfrida
85611,Elgin
85613,Fort Apache
85614,Green Valley
85615,Rye
85616,Huachuca City town
85617,McConnico
85618,Mammoth town
85619,Low Mountain
85620,Naco
85621,Nogales city
85622,Green Valley
85623,Oracle
85624,Patagonia town
85625,Apache Junction city
85626,Pirtleville
85627,Greer
85628,Nogales city
85629,Sahuarita town
85630,Lower Santan Village
85631,Lower Santan Village
85632,Lower Santan Village
85633,Casas Adobes
85634,Sells
85635,Sierra Vista city
85636,Sierra Vista city
85637,Sonoita
85638,Tombstone city
85639,Topawa
85640,Tumacacori-Carmen
85641,Vail
85643,Willcox city
85644,Willcox city
85645,Amado
85646,Tubac
85648,Nutrioso
85650,Sierra Vista city
85652,Charco
85653,Marana town
85654,Rillito
85655,Douglas city
85658,Marana town
85670,Fort Apache
85671,Sierra Vista city
85701,Corona de Tucson
85702,Corona de Tucson
85703,Corona de Tucson
85704,Corona de Tucson
85705,Corona de Tucson
85706,Corona de Tucson
85707,Corona de Tucson
