Location,Latitude,Longitude
Aguila,33.94,-113.17
Ajo,32.39,-112.88
Ak Chin,32.29,-112.01
Ak-Chin Village,33.02,-112.08
Alamo Lake,34.26,-113.51
Ali Chuk,31.82,-112.56
Ali Chukson,31.91,-111.8
Ali Molina,31.9,-111.78
Alpine,33.85,-109.14
Amado,31.7,-111.06
Anegam,32.37,-112.03
Antares,35.42,-113.81
Anthem,33.86,-112.12
Apache Junction city,33.4,-111.53
Arivaca,31.57,-111.29
Arivaca Junction,31.74,-111.07
Arizona City,32.75,-111.67
Arizona Village,34.85,-114.59
Arlington,33.33,-112.77
Ash Fork,35.22,-112.49
Avenue B and C,32.72,-114.66
Avondale city,33.39,-112.32
Avra Valley,32.42,-111.34
Aztec,32.81,-113.44
Bagdad,34.58,-113.18
Bear Flat,34.29,-111.07
Beaver Dam,36.91,-113.94
Beaver Valley,34.34,-111.3
Benson city,31.92,-110.33
Beyerville,31.39,-110.87
Bisbee city,31.41,-109.92
Bitter Springs,36.61,-111.65
Black Canyon City,34.07,-112.12
Blackwater,33.04,-111.58
Bluewater,34.17,-114.27
Bluewater,34.18,-114.26
Bouse,33.9,-114.0
Bowie,32.32,-109.48
Brenda,33.67,-113.94
Bryce,32.93,-109.82
Buckeye town,33.43,-112.65
Buckshot,32.74,-114.48
Bullhead City city,35.12,-114.55
Burnside,35.75,-109.62
Bylas,33.13,-110.12
Cactus Flats,32.76,-109.72
Cactus Forest,32.96,-111.32
Cameron,35.85,-111.43
Camp Verde town,34.57,-111.86
Campo Bonito,32.56,-110.7
Cane Beds,36.93,-112.91
Canyon Day,33.78,-110.03
Carefree town,33.82,-111.92
Carrizo,33.99,-110.33
Casa Blanca,33.12,-111.91
Casa Grande city,32.91,-111.76
Casas Adobes,32.34,-111.01
Catalina,32.48,-110.9
Catalina Foothills,32.3,-110.88
Cave Creek town,33.85,-111.98
Cedar Creek,33.9,-110.19
Centennial Park,36.95,-112.98
Central,32.87,-109.79
Central Heights-Midland City,33.4,-110.82
Chandler city,33.28,-111.85
Charco,32.25,-112.6
Chiawuli Tak,31.94,-111.78
Chilchinbito,36.5,-110.05
Chinle,36.15,-109.58
Chino Valley town,34.76,-112.41
Chloride,35.41,-114.2
Christopher Creek,34.32,-111.01
Chuichu,32.74,-111.78
