MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,geometry,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
21530491,5300000.0,85637,-110.64,31.66,2154.0,5272,1941,13,10,10500.0,0.0,6,0.0,0,1,0,1,504.7619047619048,407692.3076923077,0.7692307692307693,"POLYGON ((-110.3781 31.356362, -110.37810048152734 31.35635219828597, -110.37810192147197 31.356342490967798, -110.37810430596643 31.356332971532275, -110.37810761204676 31.356323731656765, -110.37811180787357 31.356314860326318, -110.37811685303878 31.3563064429767, -110.37812269895467 31.356298560671583, -110.37812928932189 31.35629128932188, -110.37813656067159 31.356284698954664, -110.3781444429767 31.35627885303877, -110.37815286032632 31.356273807873567, -110.37816173165677 31.35626961204675, -110.37817097153228 31.35626630596643, -110.37818049096781 31.35626392147196, -110.37819019828598 31.356262481527335, -110.3782 31.356262, -110.37820980171404 31.356262481527335, -110.3782195090322 31.35626392147196, -110.37822902846773 31.35626630596643, -110.37823826834324 31.35626961204675, -110.37824713967369 31.356273807873567, -110.37825555702331 31.35627885303877, -110.37826343932842 31.356284698954664, -110.37827071067812 31.35629128932188, -110.37827730104534 31.356298560671583, -110.37828314696124 31.3563064429767, -110.37828819212645 31.356314860326318, -110.37829238795325 31.356323731656765, -110.37829569403358 31.356332971532275, -110.37829807852805 31.356342490967798, -110.37829951847267 31.35635219828597, -110.37830000000001 31.356362, -110.37829951847267 31.356371801714033, -110.37829807852805 31.356381509032204, -110.37829569403358 31.356391028467726, -110.37829238795325 31.356400268343236, -110.37828819212645 31.356409139673683, -110.37828314696124 31.356417557023303, -110.37827730104534 31.35642543932842, -110.37827071067812 31.35643271067812, -110.37826343932842 31.356439301045338, -110.37825555702331 31.35644514696123, -110.37824713967369 31.356450192126434, -110.37823826834324 31.356454387953253, -110.37822902846773 31.356457694033573, -110.3782195090322 31.35646007852804, -110.37820980171404 31.356461518472667, -110.3782 31.356462, -110.37819019828598 31.356461518472667, -110.37818049096781 31.35646007852804, -110.37817097153228 31.356457694033573, -110.37816173165677 31.356454387953253, -110.37815286032632 31.356450192126434, -110.3781444429767 31.35644514696123, -110.37813656067159 31.356439301045338, -110.37812928932189 31.35643271067812, -110.37812269895467 31.35642543932842, -110.37811685303878 31.356417557023303, -110.37811180787357 31.356409139673683, -110.37810761204676 31.356400268343236, -110.37810430596643 31.356391028467726, -110.37810192147197 31.356381509032204, -110.37810048152734 31.356371801714033, -110.3781 31.356362))",,,,,Not Found,,,,,,,,,,,
3054672,4200000.0,85646,-111.06,31.61,1707.0,10482,1997,2,3,3514.0,3.0,5,0.0,1,0,0,1,1195.219123505976,2100000.0,1.5,"POLYGON ((-111.040607 31.594844, -111.04060748152733 31.594834198285966, -111.04060892147196 31.594824490967795, -111.04061130596642 31.594814971532273, -111.04061461204675 31.594805731656763, -111.04061880787356 31.594796860326316, -111.04062385303877 31.594788442976697, -111.04062969895466 31.59478056067158, -111.04063628932188 31.59477328932188, -111.04064356067158 31.59476669895466, -111.0406514429767 31.594760853038768, -111.04065986032631 31.594755807873565, -111.04066873165677 31.594751612046746, -111.04067797153228 31.594748305966426, -111.0406874909678 31.594745921471958, -111.04069719828597 31.594744481527332, -111.040707 31.594744, -111.04071680171403 31.594744481527332, -111.0407265090322 31.594745921471958, -111.04073602846772 31.594748305966426, -111.04074526834323 31.594751612046746, -111.04075413967368 31.594755807873565, -111.0407625570233 31.594760853038768, -111.04077043932841 31.59476669895466, -111.04077771067811 31.59477328932188, -111.04078430104533 31.59478056067158, -111.04079014696123 31.594788442976697, -111.04079519212644 31.594796860326316, -111.04079938795324 31.594805731656763, -111.04080269403357 31.594814971532273, -111.04080507852804 31.594824490967795, -111.04080651847266 31.594834198285966, -111.040807 31.594844, -111.04080651847266 31.59485380171403, -111.04080507852804 31.5948635090322, -111.04080269403357 31.594873028467724, -111.04079938795324 31.594882268343234, -111.04079519212644 31.59489113967368, -111.04079014696123 31.5948995570233, -111.04078430104533 31.594907439328416, -111.04077771067811 31.59491471067812, -111.04077043932841 31.594921301045336, -111.0407625570233 31.59492714696123, -111.04075413967368 31.594932192126432, -111.04074526834323 31.59493638795325, -111.04073602846772 31.59493969403357, -111.0407265090322 31.59494207852804, -111.04071680171403 31.594943518472665, -111.040707 31.594943999999998, -111.04069719828597 31.594943518472665, -111.0406874909678 31.59494207852804, -111.04067797153228 31.59493969403357, -111.04066873165677 31.59493638795325, -111.04065986032631 31.594932192126432, -111.0406514429767 31.59492714696123, -111.04064356067158 31.594921301045336, -111.04063628932188 31.59491471067812, -111.04062969895466 31.594907439328416, -111.04062385303877 31.5948995570233, -111.04061880787356 31.59489113967368, -111.04061461204675 31.594882268343234, -111.04061130596642 31.594873028467724, -111.04060892147196 31.5948635090322, -111.04060748152733 31.59485380171403, -111.040607 31.594844))",,,,,Not Found,,,,,,,,,,,
21900396,2776518.0,85640,-111.05,31.58,147.18,7330,1935,5,5,5067.0,5.0,5,0.0,1,0,0,1,547.9609236234459,555303.6,1.0,"POLYGON ((-111.045341 31.562121, -111.04534148152733 31.56211119828597, -111.04534292147196 31.562101490967798, -111.04534530596642 31.562091971532276, -111.04534861204675 31.562082731656766, -111.04535280787356 31.56207386032632, -111.04535785303877 31.5620654429767, -111.04536369895466 31.562057560671583, -111.04537028932188 31.56205028932188, -111.04537756067158 31.562043698954664, -111.0453854429767 31.56203785303877, -111.04539386032631 31.562032807873567, -111.04540273165676 31.56202861204675, -111.04541197153227 31.56202530596643, -111.0454214909678 31.56202292147196, -111.04543119828597 31.562021481527335, -111.045441 31.562021, -111.04545080171403 31.562021481527335, -111.0454605090322 31.56202292147196, -111.04547002846772 31.56202530596643, -111.04547926834323 31.56202861204675, -111.04548813967368 31.562032807873567, -111.0454965570233 31.56203785303877, -111.04550443932841 31.562043698954664, -111.04551171067811 31.56205028932188, -111.04551830104533 31.562057560671583, -111.04552414696123 31.5620654429767, -111.04552919212644 31.56207386032632, -111.04553338795324 31.562082731656766, -111.04553669403357 31.562091971532276, -111.04553907852804 31.562101490967798, -111.04554051847266 31.56211119828597, -111.045541 31.562121, -111.04554051847266 31.562130801714034, -111.04553907852804 31.562140509032204, -111.04553669403357 31.562150028467727, -111.04553338795324 31.562159268343237, -111.04552919212644 31.562168139673684, -111.04552414696123 31.562176557023303, -111.04551830104533 31.56218443932842, -111.04551171067811 31.56219171067812, -111.04550443932841 31.56219830104534, -111.0454965570233 31.562204146961232, -111.04548813967368 31.562209192126435, -111.04547926834323 31.562213387953253, -111.04547002846772 31.562216694033573, -111.0454605090322 31.56221907852804, -111.04545080171403 31.562220518472667, -111.045441 31.562221, -111.04543119828597 31.562220518472667, -111.0454214909678 31.56221907852804, -111.04541197153227 31.562216694033573, -111.04540273165676 31.562213387953253, -111.04539386032631 31.562209192126435, -111.0453854429767 31.562204146961232, -111.04537756067158 31.56219830104534, -111.04537028932188 31.56219171067812, -111.04536369895466 31.56218443932842, -111.04535785303877 31.562176557023303, -111.04535280787356 31.562168139673684, -111.04534861204675 31.562159268343237, -111.04534530596642 31.562150028467727, -111.04534292147196 31.562140509032204, -111.04534148152733 31.562130801714034, -111.045341 31.562121))",,,,,Not Found,,,,,,,,,,,
21217839,2100000.0,85637,-110.64,31.66,29.6,11723,1995,6,7,6454.0,3.0,4,0.0,1,0,0,1,325.37960954446856,350000.0,1.1666666666666667,"POLYGON ((-110.736102 31.721347, -110.73610248152734 31.72133719828597, -110.73610392147197 31.7213274909678, -110.73610630596643 31.721317971532276, -110.73610961204676 31.721308731656766, -110.73611380787356 31.72129986032632, -110.73611885303878 31.7212914429767, -110.73612469895467 31.721283560671584, -110.73613128932189 31.72127628932188, -110.73613856067159 31.721269698954664, -110.7361464429767 31.72126385303877, -110.73615486032632 31.721258807873568, -110.73616373165677 31.72125461204675, -110.73617297153228 31.72125130596643, -110.7361824909678 31.72124892147196, -110.73619219828598 31.721247481527335, -110.736202 31.721247, -110.73621180171403 31.721247481527335, -110.7362215090322 31.72124892147196, -110.73623102846773 31.72125130596643, -110.73624026834324 31.72125461204675, -110.73624913967369 31.721258807873568, -110.73625755702331 31.72126385303877, -110.73626543932842 31.721269698954664, -110.73627271067812 31.72127628932188, -110.73627930104534 31.721283560671584, -110.73628514696124 31.7212914429767, -110.73629019212645 31.72129986032632, -110.73629438795325 31.721308731656766, -110.73629769403358 31.721317971532276, -110.73630007852805 31.7213274909678, -110.73630151847267 31.72133719828597, -110.73630200000001 31.721347, -110.73630151847267 31.721356801714034, -110.73630007852805 31.721366509032205, -110.73629769403358 31.721376028467727, -110.73629438795325 31.721385268343237, -110.73629019212645 31.721394139673684, -110.73628514696124 31.721402557023303, -110.73627930104534 31.72141043932842, -110.73627271067812 31.72141771067812, -110.73626543932842 31.72142430104534, -110.73625755702331 31.721430146961232, -110.73624913967369 31.721435192126435, -110.73624026834324 31.721439387953254, -110.73623102846773 31.721442694033573, -110.7362215090322 31.721445078528042, -110.73621180171403 31.721446518472668, -110.736202 31.721447, -110.73619219828598 31.721446518472668, -110.7361824909678 31.721445078528042, -110.73617297153228 31.721442694033573, -110.73616373165677 31.721439387953254, -110.73615486032632 31.721435192126435, -110.7361464429767 31.721430146961232, -110.73613856067159 31.72142430104534, -110.73613128932189 31.72141771067812, -110.73612469895467 31.72141043932842, -110.73611885303878 31.721402557023303, -110.73611380787356 31.721394139673684, -110.73610961204676 31.721385268343237, -110.73610630596643 31.721376028467727, -110.73610392147197 31.721366509032205, -110.73610248152734 31.721356801714034, -110.736102 31.721347))",,,,,Not Found,,,,,,,,,,,
21424469,2500000.0,85609,-110.04,32.03,1048.18,2441,1985,2,2,2895.0,0.0,1,0.0,0,1,0,1,863.5578583765113,1250000.0,1.0,"POLYGON ((-110.095613 32.057222, -110.09561348152734 32.05721219828597, -110.09561492147196 32.0572024909678, -110.09561730596643 32.05719297153228, -110.09562061204676 32.057183731656764, -110.09562480787356 32.05717486032632, -110.09562985303877 32.0571664429767, -110.09563569895467 32.05715856067159, -110.09564228932189 32.05715128932189, -110.09564956067159 32.057144698954666, -110.0956574429767 32.05713885303877, -110.09566586032632 32.05713380787357, -110.09567473165677 32.05712961204675, -110.09568397153228 32.05712630596643, -110.0956934909678 32.05712392147196, -110.09570319828597 32.05712248152734, -110.095713 32.057122, -110.09572280171403 32.05712248152734, -110.0957325090322 32.05712392147196, -110.09574202846773 32.05712630596643, -110.09575126834324 32.05712961204675, -110.09576013967369 32.05713380787357, -110.0957685570233 32.05713885303877, -110.09577643932842 32.057144698954666, -110.09578371067812 32.05715128932189, -110.09579030104534 32.05715856067159, -110.09579614696123 32.0571664429767, -110.09580119212644 32.05717486032632, -110.09580538795325 32.057183731656764, -110.09580869403358 32.05719297153228, -110.09581107852804 32.0572024909678, -110.09581251847267 32.05721219828597, -110.095813 32.057222, -110.09581251847267 32.05723180171404, -110.09581107852804 32.0572415090322, -110.09580869403358 32.057251028467725, -110.09580538795325 32.05726026834324, -110.09580119212644 32.057269139673686, -110.09579614696123 32.057277557023305, -110.09579030104534 32.05728543932842, -110.09578371067812 32.05729271067812, -110.09577643932842 32.05729930104534, -110.0957685570233 32.057305146961234, -110.09576013967369 32.05731019212644, -110.09575126834324 32.057314387953255, -110.09574202846773 32.05731769403358, -110.0957325090322 32.05732007852804, -110.09572280171403 32.05732151847267, -110.095713 32.057322000000006, -110.09570319828597 32.05732151847267, -110.0956934909678 32.05732007852804, -110.09568397153228 32.05731769403358, -110.09567473165677 32.057314387953255, -110.09566586032632 32.05731019212644, -110.0956574429767 32.057305146961234, -110.09564956067159 32.05729930104534, -110.09564228932189 32.05729271067812, -110.09563569895467 32.05728543932842, -110.09562985303877 32.057277557023305, -110.09562480787356 32.057269139673686, -110.09562061204676 32.05726026834324, -110.09561730596643 32.057251028467725, -110.09561492147196 32.0572415090322, -110.09561348152734 32.05723180171404, -110.095613 32.057222))",,,,,Not Found,,,,,,,,,,,
21307177,2495000.0,85637,-110.64,31.66,131.0,1220,1999,13,15,13000.0,0.0,4,0.0,0,1,0,1,191.92307692307693,191923.0769230769,1.1538461538461535,"POLYGON ((-110.740535 31.720431, -110.74053548152733 31.72042119828597, -110.74053692147196 31.7204114909678, -110.74053930596642 31.720401971532276, -110.74054261204675 31.720392731656766, -110.74054680787356 31.72038386032632, -110.74055185303877 31.7203754429767, -110.74055769895466 31.720367560671583, -110.74056428932188 31.72036028932188, -110.74057156067158 31.720353698954664, -110.7405794429767 31.72034785303877, -110.74058786032631 31.720342807873568, -110.74059673165677 31.72033861204675, -110.74060597153228 31.72033530596643, -110.7406154909678 31.72033292147196, -110.74062519828597 31.720331481527335, -110.740635 31.720331, -110.74064480171403 31.720331481527335, -110.7406545090322 31.72033292147196, -110.74066402846772 31.72033530596643, -110.74067326834323 31.72033861204675, -110.74068213967368 31.720342807873568, -110.7406905570233 31.72034785303877, -110.74069843932841 31.720353698954664, -110.74070571067811 31.72036028932188, -110.74071230104533 31.720367560671583, -110.74071814696123 31.7203754429767, -110.74072319212644 31.72038386032632, -110.74072738795324 31.720392731656766, -110.74073069403357 31.720401971532276, -110.74073307852804 31.7204114909678, -110.74073451847266 31.72042119828597, -110.740735 31.720431, -110.74073451847266 31.720440801714034, -110.74073307852804 31.720450509032204, -110.74073069403357 31.720460028467727, -110.74072738795324 31.720469268343237, -110.74072319212644 31.720478139673684, -110.74071814696123 31.720486557023303, -110.74071230104533 31.72049443932842, -110.74070571067811 31.72050171067812, -110.74069843932841 31.72050830104534, -110.7406905570233 31.720514146961232, -110.74068213967368 31.720519192126435, -110.74067326834323 31.720523387953254, -110.74066402846772 31.720526694033573, -110.7406545090322 31.720529078528042, -110.74064480171403 31.720530518472668, -110.740635 31.720531, -110.74062519828597 31.720530518472668, -110.7406154909678 31.720529078528042, -110.74060597153228 31.720526694033573, -110.74059673165677 31.720523387953254, -110.74058786032631 31.720519192126435, -110.7405794429767 31.720514146961232, -110.74057156067158 31.72050830104534, -110.74056428932188 31.72050171067812, -110.74055769895466 31.72049443932842, -110.74055185303877 31.720486557023303, -110.74054680787356 31.720478139673684, -110.74054261204675 31.720469268343237, -110.74053930596642 31.720460028467727, -110.74053692147196 31.720450509032204, -110.74053548152733 31.720440801714034, -110.740535 31.720431))",,,,,Not Found,,,,,,,,,,,
21320351,2200000.0,85640,-111.05,31.58,147.18,3902,1935,5,5,4317.0,5.0,4,0.0,0,1,0,1,509.6131572851517,440000.0,1.0,"POLYGON ((-111.043673 31.562102, -111.04367348152734 31.562092198285967, -111.04367492147196 31.562082490967796, -111.04367730596643 31.562072971532274, -111.04368061204676 31.562063731656764, -111.04368480787356 31.562054860326317, -111.04368985303877 31.562046442976698, -111.04369569895466 31.56203856067158, -111.04370228932189 31.56203128932188, -111.04370956067159 31.562024698954662, -111.0437174429767 31.56201885303877, -111.04372586032632 31.562013807873566, -111.04373473165677 31.562009612046747, -111.04374397153228 31.562006305966428, -111.0437534909678 31.56200392147196, -111.04376319828597 31.562002481527333, -111.043773 31.562002, -111.04378280171403 31.562002481527333, -111.0437925090322 31.56200392147196, -111.04380202846772 31.562006305966428, -111.04381126834323 31.562009612046747, -111.04382013967368 31.562013807873566, -111.0438285570233 31.56201885303877, -111.04383643932842 31.562024698954662, -111.04384371067812 31.56203128932188, -111.04385030104534 31.56203856067158, -111.04385614696123 31.562046442976698, -111.04386119212644 31.562054860326317, -111.04386538795325 31.562063731656764, -111.04386869403358 31.562072971532274, -111.04387107852804 31.562082490967796, -111.04387251847267 31.562092198285967, -111.043873 31.562102, -111.04387251847267 31.562111801714032, -111.04387107852804 31.562121509032202, -111.04386869403358 31.562131028467725, -111.04386538795325 31.562140268343235, -111.04386119212644 31.562149139673682, -111.04385614696123 31.5621575570233, -111.04385030104534 31.562165439328417, -111.04384371067812 31.56217271067812, -111.04383643932842 31.562179301045337, -111.0438285570233 31.56218514696123, -111.04382013967368 31.562190192126433, -111.04381126834323 31.56219438795325, -111.04380202846772 31.56219769403357, -111.0437925090322 31.56220007852804, -111.04378280171403 31.562201518472666, -111.043773 31.562202, -111.04376319828597 31.562201518472666, -111.0437534909678 31.56220007852804, -111.04374397153228 31.56219769403357, -111.04373473165677 31.56219438795325, -111.04372586032632 31.562190192126433, -111.0437174429767 31.56218514696123, -111.04370956067159 31.562179301045337, -111.04370228932189 31.56217271067812, -111.04369569895466 31.562165439328417, -111.04368985303877 31.5621575570233, -111.04368480787356 31.562149139673682, -111.04368061204676 31.562140268343235, -111.04367730596643 31.562131028467725, -111.04367492147196 31.562121509032202, -111.04367348152734 31.562111801714032, -111.043673 31.562102))",,,,,Not Found,,,,,,,,,,,
4113243,2200000.0,85640,-111.05,31.58,147.18,3902,1935,5,4,4963.0,5.0,4,0.0,0,1,0,1,443.2802740278058,440000.0,0.8,"POLYGON ((-111.04453 31.562185, -111.04453048152733 31.562175198285967, -111.04453192147196 31.562165490967796, -111.04453430596642 31.562155971532274, -111.04453761204675 31.562146731656764, -111.04454180787356 31.562137860326317, -111.04454685303877 31.562129442976698, -111.04455269895466 31.56212156067158, -111.04455928932188 31.56211428932188, -111.04456656067158 31.562107698954662, -111.0445744429767 31.56210185303877, -111.04458286032632 31.562096807873566, -111.04459173165677 31.562092612046747, -111.04460097153228 31.562089305966428, -111.0446104909678 31.56208692147196, -111.04462019828597 31.562085481527333, -111.04463 31.562085, -111.04463980171403 31.562085481527333, -111.0446495090322 31.56208692147196, -111.04465902846772 31.562089305966428, -111.04466826834323 31.562092612046747, -111.04467713967368 31.562096807873566, -111.0446855570233 31.56210185303877, -111.04469343932841 31.562107698954662, -111.04470071067811 31.56211428932188, -111.04470730104534 31.56212156067158, -111.04471314696123 31.562129442976698, -111.04471819212644 31.562137860326317, -111.04472238795324 31.562146731656764, -111.04472569403357 31.562155971532274, -111.04472807852804 31.562165490967796, -111.04472951847266 31.562175198285967, -111.04473 31.562185, -111.04472951847266 31.562194801714032, -111.04472807852804 31.562204509032203, -111.04472569403357 31.562214028467725, -111.04472238795324 31.562223268343235, -111.04471819212644 31.562232139673682, -111.04471314696123 31.5622405570233, -111.04470730104534 31.562248439328418, -111.04470071067811 31.56225571067812, -111.04469343932841 31.562262301045337, -111.0446855570233 31.56226814696123, -111.04467713967368 31.562273192126433, -111.04466826834323 31.56227738795325, -111.04465902846772 31.56228069403357, -111.0446495090322 31.56228307852804, -111.04463980171403 31.562284518472666, -111.04463 31.562285, -111.04462019828597 31.562284518472666, -111.0446104909678 31.56228307852804, -111.04460097153228 31.56228069403357, -111.04459173165677 31.56227738795325, -111.04458286032632 31.562273192126433, -111.0445744429767 31.56226814696123, -111.04456656067158 31.562262301045337, -111.04455928932188 31.56225571067812, -111.04455269895466 31.562248439328418, -111.04454685303877 31.5622405570233, -111.04454180787356 31.562232139673682, -111.04453761204675 31.562223268343235, -111.04453430596642 31.562214028467725, -111.04453192147196 31.562204509032203, -111.04453048152733 31.562194801714032, -111.04453 31.562185))",,,,,Not Found,,,,,,,,,,,
21818418,1800000.0,86024,-110.78,33.0,59.3,4509,2003,2,3,1999.0,2.0,1,0.0,1,0,0,1,900.4502251125563,900000.0,1.5,"POLYGON ((-111.22836199999999 34.596971, -111.22836248152733 34.59696119828597, -111.22836392147195 34.596951490967804, -111.22836630596642 34.59694197153228, -111.22836961204675 34.596932731656764, -111.22837380787355 34.59692386032632, -111.22837885303876 34.5969154429767, -111.22838469895466 34.59690756067159, -111.22839128932188 34.59690028932189, -111.22839856067158 34.596893698954666, -111.22840644297669 34.59688785303877, -111.22841486032631 34.59688280787357, -111.22842373165676 34.59687861204675, -111.22843297153227 34.59687530596643, -111.2284424909678 34.59687292147196, -111.22845219828596 34.59687148152734, -111.228462 34.596871, -111.22847180171402 34.59687148152734, -111.22848150903219 34.59687292147196, -111.22849102846772 34.59687530596643, -111.22850026834323 34.59687861204675, -111.22850913967368 34.59688280787357, -111.2285175570233 34.59688785303877, -111.22852543932841 34.596893698954666, -111.22853271067811 34.59690028932189, -111.22853930104533 34.59690756067159, -111.22854514696122 34.5969154429767, -111.22855019212643 34.59692386032632, -111.22855438795324 34.596932731656764, -111.22855769403357 34.59694197153228, -111.22856007852803 34.596951490967804, -111.22856151847266 34.59696119828597, -111.228562 34.596971, -111.22856151847266 34.59698080171404, -111.22856007852803 34.5969905090322, -111.22855769403357 34.597000028467725, -111.22855438795324 34.59700926834324, -111.22855019212643 34.597018139673686, -111.22854514696122 34.597026557023305, -111.22853930104533 34.59703443932842, -111.22853271067811 34.59704171067812, -111.22852543932841 34.59704830104534, -111.2285175570233 34.597054146961234, -111.22850913967368 34.59705919212644, -111.22850026834323 34.597063387953256, -111.22849102846772 34.59706669403358, -111.22848150903219 34.597069078528044, -111.22847180171402 34.59707051847267, -111.228462 34.59707100000001, -111.22845219828596 34.59707051847267, -111.2284424909678 34.597069078528044, -111.22843297153227 34.59706669403358, -111.22842373165676 34.597063387953256, -111.22841486032631 34.59705919212644, -111.22840644297669 34.597054146961234, -111.22839856067158 34.59704830104534, -111.22839128932188 34.59704171067812, -111.22838469895466 34.59703443932842, -111.22837885303876 34.597026557023305, -111.22837380787355 34.597018139673686, -111.22836961204675 34.59700926834324, -111.22836630596642 34.597000028467725, -111.22836392147195 34.5969905090322, -111.22836248152733 34.59698080171404, -111.22836199999999 34.596971))",,,,,Not Found,,,,,,,,,,,
21808178,1295000.0,85637,-110.64,31.66,273.03,8411,1995,3,4,2681.0,6.0,1,0.0,0,1,0,1,483.0287206266319,431666.6666666667,1.3333333333333333,"POLYGON ((-110.683475 31.684722, -110.68347548152734 31.68471219828597, -110.68347692147196 31.684702490967798, -110.68347930596643 31.684692971532275, -110.68348261204676 31.684683731656765, -110.68348680787356 31.684674860326318, -110.68349185303877 31.6846664429767, -110.68349769895467 31.684658560671583, -110.68350428932189 31.68465128932188, -110.68351156067159 31.684644698954664, -110.6835194429767 31.68463885303877, -110.68352786032632 31.684633807873567, -110.68353673165677 31.68462961204675, -110.68354597153228 31.68462630596643, -110.6835554909678 31.68462392147196, -110.68356519828598 31.684622481527335, -110.683575 31.684622, -110.68358480171403 31.684622481527335, -110.6835945090322 31.68462392147196, -110.68360402846773 31.68462630596643, -110.68361326834324 31.68462961204675, -110.68362213967369 31.684633807873567, -110.6836305570233 31.68463885303877, -110.68363843932842 31.684644698954664, -110.68364571067812 31.68465128932188, -110.68365230104534 31.684658560671583, -110.68365814696124 31.6846664429767, -110.68366319212645 31.684674860326318, -110.68366738795325 31.684683731656765, -110.68367069403358 31.684692971532275, -110.68367307852805 31.684702490967798, -110.68367451847267 31.68471219828597, -110.68367500000001 31.684722, -110.68367451847267 31.684731801714033, -110.68367307852805 31.684741509032204, -110.68367069403358 31.684751028467726, -110.68366738795325 31.684760268343236, -110.68366319212645 31.684769139673683, -110.68365814696124 31.684777557023303, -110.68365230104534 31.68478543932842, -110.68364571067812 31.68479271067812, -110.68363843932842 31.684799301045338, -110.6836305570233 31.68480514696123, -110.68362213967369 31.684810192126434, -110.68361326834324 31.684814387953253, -110.68360402846773 31.684817694033573, -110.6835945090322 31.68482007852804, -110.68358480171403 31.684821518472667, -110.683575 31.684822, -110.68356519828598 31.684821518472667, -110.6835554909678 31.68482007852804, -110.68354597153228 31.684817694033573, -110.68353673165677 31.684814387953253, -110.68352786032632 31.684810192126434, -110.6835194429767 31.68480514696123, -110.68351156067159 31.684799301045338, -110.68350428932189 31.68479271067812, -110.68349769895467 31.68478543932842, -110.68349185303877 31.684777557023303, -110.68348680787356 31.684769139673683, -110.68348261204676 31.684760268343236, -110.68347930596643 31.684751028467726, -110.68347692147196 31.684741509032204, -110.68347548152734 31.684731801714033, -110.683475 31.684722))",,,,,Not Found,,,,,,,,,,,
