ZIP Code,City
85001,Phoenix
85002,Phoenix
85003,Phoenix
85004,Phoenix
85005,Phoenix
85006,Phoenix
85007,Phoenix
85008,Phoenix
85009,Phoenix
85010,Phoenix
85011,Phoenix
85012,Phoenix
85013,Phoenix
85014,Phoenix
85015,Phoenix
85016,Phoenix
85017,Phoenix
85018,Phoenix
85019,Phoenix
85020,Phoenix
85021,Phoenix
85022,Phoenix
85023,Phoenix
85024,Phoenix
85026,Phoenix
85027,Phoenix
85028,Phoenix
85029,Phoenix
85030,Phoenix
85031,Phoenix
85032,Phoenix
85033,Phoenix
85034,Phoenix
85035,Phoenix
85036,Phoenix
85037,Phoenix
85038,Phoenix
85039,Phoenix
85040,Phoenix
85041,Phoenix
85042,Phoenix
85043,Phoenix
85044,Phoenix
85045,Phoenix
85046,Phoenix
85048,Phoenix
85050,Phoenix
85051,Phoenix
85053,Phoenix
85054,Phoenix
85060,Phoenix
85061,Phoenix
85062,Phoenix
85063,Phoenix
85064,Phoenix
85065,Phoenix
85066,Phoenix
85067,Phoenix
85068,Phoenix
85069,Phoenix
85070,Phoenix
85071,Phoenix
85072,Phoenix
85073,Phoenix
85074,Phoenix
85075,Phoenix
85076,Phoenix
85078,Phoenix
85079,Phoenix
85080,Phoenix
85082,Phoenix
85083,Phoenix
85085,Phoenix
85086,Phoenix
85087,New
85117,Apache
85118,Gold
85119,Apache
85120,Apache
85121,Bapchule
85122,Casa
85123,Arizona
85127,Chandler
85128,Coolidge
85130,Casa
85131,Eloy
85132,Florence
85135,Hayden
85137,Kearny
85138,Maricopa
85139,Maricopa
85140,San
85141,Picacho
85142,Queen
85143,San
85144,San
85145,Red
85147,Sacaton
85172,Stanfield
85173,Superior
85178,Apache
85190,Tortilla
85191,Valley
85192,Winkelman
85193,Casa
85194,Casa
85201,Mesa
85202,Mesa
85203,Mesa
85204,Mesa
85205,Mesa
85206,Mesa
85207,Mesa
85208,Mesa
85209,Mesa
85210,Mesa
85211,Mesa
85212,Mesa
85213,Mesa
85214,Mesa
85215,Mesa
85216,Mesa
85224,Chandler
85225,Chandler
85226,Chandler
85233,Gilbert
85234,Gilbert
85236,Higley
85244,Chandler
85246,Chandler
85248,Chandler
85249,Chandler
85250,Scottsdale
85251,Scottsdale
85252,Scottsdale
85253,Paradise
85254,Scottsdale
85255,Scottsdale
85256,Scottsdale
85257,Scottsdale
85258,Scottsdale
85259,Scottsdale
85260,Scottsdale
85261,Scottsdale
85262,Scottsdale
85263,Rio
85264,Fort
85266,Scottsdale
85267,Scottsdale
85268,Fountain
85269,Fountain
85271,Scottsdale
85274,Mesa
85275,Mesa
85277,Mesa
85280,Tempe
85281,Tempe
85282,Tempe
85283,Tempe
85284,Tempe
85285,Tempe
85286,Chandler
85287,Tempe
85288,Tempe
85295,Gilbert
85296,Gilbert
85297,Gilbert
85298,Gilbert
85299,Gilbert
85301,Glendale
85302,Glendale
85303,Glendale
85304,Glendale
85305,Glendale
85306,Glendale
85307,Glendale
85308,Glendale
85309,Luke
85310,Glendale
85311,Glendale
85312,Glendale
